,OpmH,FosA5,Type B NfxB,OKP-B-19,OprJ,Pseudomonas aeruginosa catB7,Escherichia coli marR mutant conferring antibiotic resistance,mphC,catB3,Escherichia coli mdfA,Streptococcus agalactiae mprF,SHV-11,Klebsiella pneumoniae KpnG,marA,oqxA,YojI,OXA-334,mexQ,SHV-187,ANT(3'')-IIa,emrR,CTX-M-15,MuxA,APH(3'')-Ib,IND-6,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,SHV-66,APH(3')-IIIa,LEN-55,MCR-5.2,LEN-9,mexM,QnrB1,MexB,basS,QnrB20,dfrI,cpxA,FosA6,Klebsiella pneumoniae ramR mutants,OXA-1,Escherichia coli ampH beta-lactamase,SHV-1,AAC(6')-Ib-cr,AAC(6')-Iai,tet(E),CBP-1,Klebsiella pneumoniae OmpK37,oqxB,acrD,Salmonella enterica gyrA conferring resistance to fluoroquinolones,APH(6)-Id,MexD,catII from Escherichia coli K-12,AAC(6')-Ib10,SHV-28,mdtB,MexA,APH(7'')-Ia,baeR,MexC,SHV-36,sul1,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,MexW,Escherichia coli soxS with mutation conferring antibiotic resistance,Klebsiella pneumoniae acrA,adeF,Klebsiella pneumoniae KpnE,QnrD1,msbA,acrB,dfrA14,CRP,Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,Klebsiella pneumoniae KpnF,Klebsiella pneumoniae KpnH,Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance,MexV,sul2,Enterobacter cloacae acrA,mdtC,PDC-5,TEM-1,PmrF
Kp17,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
Kp1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1
Kp14,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
Kp19,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
Kp11,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1
Kp12,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
Kp16,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1
Kp10,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1
Kp13,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
Kp18,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
Kp15,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
